City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,kununurra,-15.7667,128.7333,24.99,78,40,0.0,AU,1696279552
315,monzon,41.9108,0.1941,22.68,75,100,1.75,ES,1696279552
316,oak grove,45.4168,-122.6401,15.13,85,100,3.58,US,1696279552
317,ardestan,33.3761,52.3694,23.96,29,74,1.68,IR,1696279552
318,bethanie,-26.4833,17.15,23.85,21,0,1.22,NA,1696279553
319,tynda,55.1667,124.7167,3.23,89,99,1.04,RU,1696279512
320,birao,10.2849,22.7882,23.86,89,100,1.53,CF,1696279553
321,san rafael,-34.6177,-68.3301,21.15,22,72,8.98,AR,1696279553
322,olovyannaya,50.95,115.5667,1.95,57,7,6.01,RU,1696279553
323,arteche,12.2645,125.4048,26.02,89,100,2.06,PH,1696279554
324,ar rutbah,33.0381,40.2848,23.99,39,100,4.5,IQ,1696279554
325,caleta de carquin,-11.0925,-77.6267,20.88,80,41,5.42,PE,1696279554
326,filingue,14.3521,3.3168,33.65,38,60,5.96,NE,1696279554
327,malango,-2.9627,119.9001,18.3,96,77,0.99,ID,1696279554
328,codo,-4.4553,-43.8856,34.44,27,94,1.9,BR,1696279555
329,ontario,34.0633,-117.6509,24.85,48,20,4.12,US,1696279555
330,fort stockton,30.894,-102.8793,29.03,56,0,8.23,US,1696279555
331,guatrache,-37.6678,-63.5302,25.58,24,93,6.32,AR,1696279555
332,onguday,50.75,86.15,2.8,89,0,1.33,RU,1696279555
333,kandalaksha,67.162,32.4123,3.28,77,100,1.79,RU,1696279555
334,midvagur,62.0511,-7.1939,10.46,87,100,8.23,FO,1696279555
335,kerikeri,-35.2268,173.9474,14.39,87,14,0.89,NZ,1696279556
336,levuka,50.1834,-105.4011,15.9,67,75,6.69,CA,1696279556
337,bocas del toro,9.3333,-82.25,30.06,68,53,1.79,PA,1696279556
338,taco pozo,-25.6167,-63.2833,34.96,21,0,5.14,AR,1696279556
339,singaraja,-8.112,115.0882,24.31,80,59,1.92,ID,1696279556
340,remire-montjoly,4.9167,-52.2667,30.02,70,0,5.14,GF,1696279556
341,lobito,-12.3481,13.5456,22.36,83,5,0.92,AO,1696279557
342,mersa matruh,31.3525,27.2453,24.11,53,40,5.14,EG,1696279557
